concept,row_order,section,bank,table_type_id,canonical_leaf_id,canonical_col_id,sign,member_ordinal,source_family,filter_by
"Transportation, storage & communications",16,By Industry,DBS,FS_CUSTOMER_LOANS,by_industry::transportation_storage_and_communications,,1,1,Performance_summary,period_end_date
"Transportation, storage & communications",16,By Industry,OCBC,FS_CUSTOMER_LOANS,by_industry::transport_storage_and_communication,,1,1,Media_release_and_financial_highlights,period_end_date
"Transportation, storage & communications",16,By Industry,UOB,FS_CUSTOMER_LOANS,by_industry::transport_storage_and_communication,,1,1,Condensed_financial_statements,period_end_date
"Financial institutions, investment & holding companies",17,By Industry,DBS,FS_CUSTOMER_LOANS,by_industry::financial_institutions_investment_and_holding_companies,,1,1,Performance_summary,period_end_date
"Financial institutions, investment & holding companies",17,By Industry,OCBC,FS_CUSTOMER_LOANS,by_industry::financial_institutions_investment_and_holding_companies,,1,1,Media_release_and_financial_highlights,period_end_date
"Financial institutions, investment & holding companies",17,By Industry,UOB,FS_CUSTOMER_LOANS,by_industry::financial_institutions_investment_and_holding_companies,,1,1,Condensed_financial_statements,period_end_date
Professionals & private individuals,18,By Industry,DBS,FS_CUSTOMER_LOANS,by_industry::professionals_and_private_individuals_excluding_housing_loans,,1,1,Performance_summary,period_end_date
Professionals & private individuals,18,By Industry,OCBC,FS_CUSTOMER_LOANS,by_industry::professionals_and_individuals,,1,1,Media_release_and_financial_highlights,period_end_date
Professionals & private individuals,18,By Industry,UOB,FS_CUSTOMER_LOANS,by_industry::professionals_and_private_individuals,,1,1,Condensed_financial_statements,period_end_date
Others (Industry),19,By Industry,DBS,FS_CUSTOMER_LOANS,by_industry::others,,1,1,Performance_summary,period_end_date
Others (Industry),19,By Industry,UOB,FS_CUSTOMER_LOANS,by_industry::others,,1,1,Condensed_financial_statements,period_end_date
Singapore Dollar,20,By Currency,DBS,FS_CUSTOMER_LOANS,by_currency::singapore_dollar,,1,1,Performance_summary,period_end_date
Singapore Dollar,20,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::singapore_dollar,,1,1,Media_release_and_financial_highlights,period_end_date
Singapore Dollar,20,By Currency,UOB,FS_CUSTOMER_LOANS,by_currency::singapore_dollar,,1,1,Condensed_financial_statements,period_end_date
US Dollar,21,By Currency,DBS,FS_CUSTOMER_LOANS,by_currency::us_dollar,,1,1,Performance_summary,period_end_date
US Dollar,21,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::united_states_dollar,,1,1,Media_release_and_financial_highlights,period_end_date
US Dollar,21,By Currency,UOB,FS_CUSTOMER_LOANS,by_currency::us_dollar,,1,1,Condensed_financial_statements,period_end_date
Malaysian Ringgit,23,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::malaysian_ringgit,,1,1,Media_release_and_financial_highlights,period_end_date
Malaysian Ringgit,23,By Currency,UOB,FS_CUSTOMER_LOANS,by_currency::malaysian_ringgit,,1,1,Condensed_financial_statements,period_end_date
Thai Baht,24,By Currency,UOB,FS_CUSTOMER_LOANS,by_currency::thai_baht,,1,1,Condensed_financial_statements,period_end_date
Indonesian Rupiah,25,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::indonesian_rupiah,,1,1,Media_release_and_financial_highlights,period_end_date
Indonesian Rupiah,25,By Currency,UOB,FS_CUSTOMER_LOANS,by_currency::indonesian_rupiah,,1,1,Condensed_financial_statements,period_end_date
Chinese Renminbi,26,By Currency,DBS,FS_CUSTOMER_LOANS,by_currency::chinese_yuan,,1,1,Performance_summary,period_end_date
Chinese Renminbi,26,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::chinese_renminbi,,1,1,Media_release_and_financial_highlights,period_end_date
Hong Kong Dollar,27,By Currency,DBS,FS_CUSTOMER_LOANS,by_currency::hong_kong_dollar,,1,1,Performance_summary,period_end_date
Hong Kong Dollar,27,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::hong_kong_dollar,,1,1,Media_release_and_financial_highlights,period_end_date
Taiwan Dollar,28,By Currency,DBS,FS_CUSTOMER_LOANS,by_currency::taiwan_dollar,,1,1,Performance_summary,period_end_date
Others (Currency),29,By Currency,DBS,FS_CUSTOMER_LOANS,by_currency::others,,1,1,Performance_summary,period_end_date
Others (Currency),29,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::others,,1,1,Media_release_and_financial_highlights,period_end_date
Others (Currency),29,By Currency,UOB,FS_CUSTOMER_LOANS,by_currency::others,,1,1,Condensed_financial_statements,period_end_date
Within 1 year,30,By Maturity,OCBC,FS_CUSTOMER_LOANS,by_maturity::within_1_year,,1,1,Media_release_and_financial_highlights,period_end_date
Within 1 year,30,By Maturity,UOB,FS_CUSTOMER_LOANS,by_maturity::within_1_year,,1,1,Condensed_financial_statements,period_end_date
1 to 3 years,31,By Maturity,OCBC,FS_CUSTOMER_LOANS,by_maturity::1_to_3_years,,1,1,Media_release_and_financial_highlights,period_end_date
1 to 3 years,31,By Maturity,UOB,FS_CUSTOMER_LOANS,by_maturity::over_1_year_but_within_3_years,,1,1,Condensed_financial_statements,period_end_date
Over 3 years,32,By Maturity,OCBC,FS_CUSTOMER_LOANS,by_maturity::over_3_years,,1,1,Media_release_and_financial_highlights,period_end_date
